"HOR","geo_level_code","time"
69.3,"MW","2014-Q1"
62.4,"NE","2014-Q1"
66.5,"SO","2014-Q1"
59.4,"WE","2014-Q1"
69.6,"MW","2014-Q2"
62.1,"NE","2014-Q2"
65.9,"SO","2014-Q2"
59.6,"WE","2014-Q2"
68.8,"MW","2014-Q3"
62.3,"NE","2014-Q3"
65.7,"SO","2014-Q3"
59.4,"WE","2014-Q3"
68.3,"MW","2014-Q4"
61.9,"NE","2014-Q4"
65.5,"SO","2014-Q4"
58.6,"WE","2014-Q4"
68.6,"MW","2015-Q1"
61.1,"NE","2015-Q1"
65.1,"SO","2015-Q1"
58.5,"WE","2015-Q1"
60.2,"NE","2015-Q2"
68.4,"MW","2015-Q2"
64.9,"SO","2015-Q2"
58.5,"WE","2015-Q2"
68.1,"MW","2015-Q3"
60.8,"NE","2015-Q3"
65.4,"SO","2015-Q3"
58.7,"WE","2015-Q3"
68.1,"MW","2015-Q4"
61.6,"NE","2015-Q4"
65.3,"SO","2015-Q4"
59,"WE","2015-Q4"
68.9,"MW","2016-Q1"
60.4,"NE","2016-Q1"
64.8,"SO","2016-Q1"
58.7,"WE","2016-Q1"
67.7,"MW","2016-Q2"
59.2,"NE","2016-Q2"
64.8,"SO","2016-Q2"
57.9,"WE","2016-Q2"
68.6,"MW","2016-Q3"
60.8,"NE","2016-Q3"
65,"SO","2016-Q3"
58.2,"WE","2016-Q3"
68.4,"MW","2016-Q4"
60.4,"NE","2016-Q4"
65.3,"SO","2016-Q4"
59,"WE","2016-Q4"
67.6,"MW","2017-Q1"
60.6,"NE","2017-Q1"
65.4,"SO","2017-Q1"
59,"WE","2017-Q1"
68,"MW","2017-Q2"
60.4,"NE","2017-Q2"
65.5,"SO","2017-Q2"
58.9,"WE","2017-Q2"
69.1,"MW","2017-Q3"
60.4,"NE","2017-Q3"
65.5,"SO","2017-Q3"
58.9,"WE","2017-Q3"
68.7,"MW","2017-Q4"
60.6,"NE","2017-Q4"
65.8,"SO","2017-Q4"
60,"WE","2017-Q4"
67.9,"MW","2018-Q1"
60.5,"NE","2018-Q1"
66.3,"SO","2018-Q1"
59.7,"WE","2018-Q1"
68.3,"MW","2018-Q2"
61.3,"NE","2018-Q2"
65.9,"SO","2018-Q2"
59.7,"WE","2018-Q2"
69,"MW","2018-Q3"
61.5,"NE","2018-Q3"
65.4,"SO","2018-Q3"
60.2,"WE","2018-Q3"
69.3,"MW","2018-Q4"
61.3,"NE","2018-Q4"
66,"SO","2018-Q4"
60.9,"WE","2018-Q4"
68.2,"MW","2019-Q1"
60.7,"NE","2019-Q1"
66.2,"SO","2019-Q1"
59.8,"WE","2019-Q1"
68,"MW","2019-Q2"
61.2,"NE","2019-Q2"
66,"SO","2019-Q2"
59.3,"WE","2019-Q2"
69,"MW","2019-Q3"
61.7,"NE","2019-Q3"
66.2,"SO","2019-Q3"
60.6,"WE","2019-Q3"
69.5,"MW","2019-Q4"
62.3,"NE","2019-Q4"
66.7,"SO","2019-Q4"
60.3,"WE","2019-Q4"
69.2,"MW","2020-Q1"
62.4,"NE","2020-Q1"
67.6,"SO","2020-Q1"
60.1,"WE","2020-Q1"
71.4,"MW","2020-Q2"
63.3,"NE","2020-Q2"
71.1,"SO","2020-Q2"
62.6,"WE","2020-Q2"
71.2,"MW","2020-Q3"
62,"NE","2020-Q3"
70.8,"SO","2020-Q3"
62.1,"WE","2020-Q3"
70.8,"MW","2020-Q4"
62.6,"NE","2020-Q4"
67.7,"SO","2020-Q4"
60.4,"WE","2020-Q4"
70.3,"MW","2021-Q1"
63.1,"NE","2021-Q1"
67.4,"SO","2021-Q1"
59.7,"WE","2021-Q1"
70.7,"MW","2021-Q2"
61.8,"NE","2021-Q2"
67.1,"SO","2021-Q2"
60.1,"WE","2021-Q2"
