"label","ASOLD","FORSALE","SOLD","OCC","OFFMAR","OWNOCC","RNTOCC","HOR"
"MW",57.3333333333333,27.6666666666667,4.33333333333333,26158,1498,17940,8218,68.6
"NE",20.6666666666667,18.3333333333333,1.66666666666667,20832,1266,12736,8097,61.1
"SO",297.666666666667,111.333333333333,25.6666666666667,44133,3208,28714,15419,65.1
"WE",136,45.6666666666667,12,26236,1259,15339,10897,58.5
"MW",61.3333333333333,28.6666666666667,6.33333333333333,26377,1421,18045,8332,68.4
"NE",21.6666666666667,20.6666666666667,1.66666666666667,20887,1121,12584,8303,60.2
"SO",285.333333333333,112,26,44155,3316,28664,15491,64.9
"WE",126.333333333333,48,12,26283,1304,15379,10903,58.5
"MW",60.3333333333333,31.3333333333333,5,26517,1339,18068,8449,68.1
"NE",26.6666666666667,22.3333333333333,2.33333333333333,20989,1202,12766,8223,60.8
"SO",283.333333333333,116,22.3333333333333,44024,3268,28772,15251,65.4
"WE",123,52.3333333333333,9.33333333333333,26269,1357,15422,10846,58.7
"MW",65.6666666666667,32,4.66666666666667,26490,1452,18041,8450,68.1
"NE",30,22.6666666666667,2.33333333333333,20971,1310,12911,8060,61.6
"SO",278,121.333333333333,21,44379,3276,28960,15419,65.3
"WE",137,55.3333333333333,9.33333333333333,26424,1313,15595,10829,59
"MW",62,31.3333333333333,4.66666666666667,26202,1506,18042,8159,68.9
"NE",31,24,2.66666666666667,20930,1272,12636,8294,60.4
"SO",294.333333333333,126,25.6666666666667,44451,3481,28793,15659,64.8
"WE",130.666666666667,55.6666666666667,12,26455,1347,15520,10935,58.7
"MW",70.3333333333333,31.6666666666667,6.66666666666667,26529,1427,17971,8559,67.7
"NE",33.6666666666667,25,3.33333333333333,21074,1202,12473,8601,59.2
"SO",323,127,29.3333333333333,44640,3398,28909,15731,64.8
"WE",141,56.6666666666667,13.3333333333333,26528,1311,15373,11155,57.9
"MW",74.6666666666667,31.6666666666667,6.33333333333333,26636,1361,18262,8374,68.6
"NE",30,26,2.66666666666667,21132,1287,12849,8282,60.8
"SO",340,125.333333333333,27.6666666666667,44701,3282,29043,15658,65
"WE",142.333333333333,59,11.3333333333333,26659,1227,15523,11137,58.2
"MW",70.6666666666667,32.6666666666667,5,26693,1381,18261,8432,68.4
"NE",34.3333333333333,27,2.66666666666667,20990,1405,12678,8311,60.4
"SO",309.333333333333,131.333333333333,23.3333333333333,44772,3356,29240,15533,65.3
"WE",154.666666666667,62.3333333333333,11,26772,1226,15797,10975,59
"MW",77.3333333333333,33.6666666666667,6,26593,1435,17967,8625,67.6
"NE",38,26.3333333333333,2.66666666666667,21106,1249,12790,8316,60.6
"SO",337.666666666667,137.666666666667,29,45015,3386,29432,15583,65.4
"WE",154.333333333333,63,14,26722,1236,15770,10952,59
"MW",67.3333333333333,36.6666666666667,6.33333333333333,26631,1404,18103,8528,68
"NE",41.6666666666667,25,4,21185,1296,12803,8382,60.4
"SO",342,143,31,45091,3479,29518,15573,65.5
"WE",163.333333333333,64,15.3333333333333,26540,1305,15640,10900,58.9
"MW",70.6666666666667,37,6,26898,1311,18576,8322,69.1
"NE",38,24.3333333333333,3.33333333333333,21238,1301,12833,8405,60.4
"SO",318,151.666666666667,26,44974,3511,29470,15504,65.5
"WE",148.333333333333,68.6666666666667,11.6666666666667,26560,1313,15641,10919,58.9
"MW",72.3333333333333,40,5,27059,1416,18599,8461,68.7
"NE",40.3333333333333,24.6666666666667,2.66666666666667,21189,1281,12830,8359,60.6
"SO",365,153.333333333333,26.6666666666667,45547,3407,29954,15593,65.8
"WE",189.333333333333,73.6666666666667,13,27026,1240,16209,10817,60
"MW",80.6666666666667,39,6.66666666666667,26888,1561,18247,8641,67.9
"NE",36.6666666666667,23.3333333333333,3,21235,1337,12840,8396,60.5
"SO",350.333333333333,156.666666666667,30.6666666666667,45613,3448,30247,15366,66.3
"WE",177,74.6666666666667,15.6666666666667,26926,1315,16080,10846,59.7
"MW",80.6666666666667,40.3333333333333,7.66666666666667,27142,1321,18545,8598,68.3
"NE",37.6666666666667,23.6666666666667,3.33333333333333,21314,1295,13071,8241,61.3
"SO",368.333333333333,157.666666666667,33.3333333333333,45779,3417,30164,15615,65.9
"WE",158.666666666667,78.3333333333333,15,26908,1509,16073,10835,59.7
"MW",74,41,6.33333333333333,27249,1272,18811,8438,69
"NE",27.3333333333333,26.3333333333333,2.33333333333333,21299,1335,13089,8209,61.5
"SO",328.333333333333,168.666666666667,27.3333333333333,45767,3449,29922,15845,65.4
"WE",159,85.3333333333333,13,26953,1407,16219,10733,60.2
"MW",65,42.6666666666667,4.66666666666667,27277,1405,18912,8365,69.3
"NE",27.3333333333333,27,2,21419,1232,13131,8288,61.3
"SO",342.333333333333,180,25,46378,3254,30629,15749,66
"WE",142,92,10.3333333333333,27323,1275,16646,10676,60.9
"MW",74.3333333333333,40.3333333333333,6,27133,1416,18509,8624,68.2
"NE",29.3333333333333,28,2.33333333333333,21517,1252,13068,8449,60.7
"SO",388.333333333333,182.666666666667,33.3333333333333,46140,3516,30525,15615,66.2
"WE",182.666666666667,89.3333333333333,16.3333333333333,27466,1240,16431,11035,59.8
"MW",68.3333333333333,38,6.66666666666667,27248,1405,18538,8710,68
"NE",27,28.3333333333333,2.33333333333333,21623,1158,13239,8384,61.2
"SO",398.333333333333,179,36,46062,3768,30408,15654,66
"WE",179.333333333333,84,16.6666666666667,27396,1364,16256,11140,59.3
"MW",67,37.3333333333333,5.33333333333333,27284,1449,18816,8468,69
"NE",32.3333333333333,28.3333333333333,3,21615,1129,13330,8285,61.7
"SO",404.333333333333,172.333333333333,34,46336,3690,30670,15667,66.2
"WE",169.333333333333,86.3333333333333,13.6666666666667,27382,1356,16606,10776,60.6
"MW",77.3333333333333,39.3333333333333,5.33333333333333,27339,1478,19012,8327,69.5
"NE",32,28.6666666666667,2.33333333333333,21739,1078,13538,8202,62.3
"SO",404.333333333333,170.333333333333,29.6666666666667,47009,3434,31333,15676,66.7
"WE",198.333333333333,87,14,27760,1300,16733,11028,60.3
"MW",82.6666666666667,37.3333333333333,6.66666666666667,27418,1468,18963,8455,69.2
"NE",33,26.6666666666667,3,21766,1148,13583,8183,62.4
"SO",383.666666666667,179,33,47125,3571,31837,15288,67.6
"WE",203.666666666667,84.6666666666667,17.6666666666667,27990,1290,16822,11168,60.1
"MW",78.3333333333333,31.6666666666667,7.66666666666667,27773,1230,19817,7956,71.4
"NE",35.6666666666667,25,3.33333333333333,22231,952,14064,8167,63.3
"SO",415,173.333333333333,38,48277,3057,34324,13953,71.1
"WE",179.333333333333,78.6666666666667,16.6666666666667,28419,1017,17777,10642,62.6
"MW",106.666666666667,29.6666666666667,9,27744,1187,19754,7990,71.2
"NE",42,22.3333333333333,3.66666666666667,21914,1074,13592,8322,62
"SO",567,161.333333333333,47.6666666666667,48695,2839,34501,14194,70.8
"WE",257.666666666667,73,20.6666666666667,28283,976,17557,10726,62.1
"MW",107,31,7.66666666666667,27637,1278,19557,8080,70.8
"NE",38.6666666666667,23,2.66666666666667,21765,1168,13615,8151,62.6
"SO",538.666666666667,165,39.6666666666667,48050,3322,32519,15531,67.7
"WE",241.333333333333,72.6666666666667,17.3333333333333,28297,1155,17088,11210,60.4
"MW",112.333333333333,30.3333333333333,9.33333333333333,27465,1428,19309,8156,70.3
"NE",44.6666666666667,26,3.66666666666667,21752,1197,13723,8029,63.1
"SO",530,170,45.3333333333333,48366,3167,32608,15758,67.4
"WE",209.333333333333,76.3333333333333,18,28362,1189,16939,11423,59.7
"MW",92,30.6666666666667,9,27582,1361,19504,8077,70.7
"NE",36.3333333333333,25.6666666666667,3.66666666666667,21830,1221,13494,8336,61.8
"SO",426.333333333333,188.666666666667,37.6666666666667,48335,3341,32439,15896,67.1
"WE",183.333333333333,85.3333333333333,17,28408,1115,17074,11334,60.1
